Code,Commodity,Industry,Scrap,ValueAdded,CommodityTotalOutput,IndustryTotalOutput,CommodityIntermediateOutput,HouseholdDemand,InvestmentDemand,ChangeInventories,Export,Import,GovernmentDemand,NaturalGas,Water,Electricity,Petroleum,PersonalTransportRelated,Wholesale,Retail,Distribution
1111A0,1,1,,,,,,,,,,,,,,,,,,,
1111B0,1,1,,,,,,,,,,,,,,,,,,,
111200,1,1,,,,,,,,,,,,,,,,,,,
111300,1,1,,,,,,,,,,,,,,,,,,,
111400,1,1,,,,,,,,,,,,,,,,,,,
111900,1,1,,,,,,,,,,,,,,,,,,,
112120,1,1,,,,,,,,,,,,,,,,,,,
1121A0,1,1,,,,,,,,,,,,,,,,,,,
112300,1,1,,,,,,,,,,,,,,,,,,,
112A00,1,1,,,,,,,,,,,,,,,,,,,
113000,1,1,,,,,,,,,,,,,,,,,,,
114000,1,1,,,,,,,,,,,,,,,,,,,
115000,1,1,,,,,,,,,,,,,,,,,,,
211000,1,1,,,,,,,,,,,,,,,,,,,
212100,1,1,,,,,,,,,,,,,,,,,,,
212230,1,1,,,,,,,,,,,,,,,,,,,
2122A0,1,1,,,,,,,,,,,,,,,,,,,
212310,1,1,,,,,,,,,,,,,,,,,,,
2123A0,1,1,,,,,,,,,,,,,,,,,,,
213111,1,1,,,,,,,,,,,,,,,,,,,
21311A,1,1,,,,,,,,,,,,,,,,,,,
221100,1,1,,,,,,,,,,,,,,1,,,,,
221200,1,1,,,,,,,,,,,,1,,,,,,,
221300,1,1,,,,,,,,,,,,,1,,,,,,
233210,1,1,,,,,,,,,,,,,,,,,,,
233262,1,1,,,,,,,,,,,,,,,,,,,
230301,1,1,,,,,,,,,,,,,,,,,,,
230302,1,1,,,,,,,,,,,,,,,,,,,
2332A0,1,1,,,,,,,,,,,,,,,,,,,
233412,1,1,,,,,,,,,,,,,,,,,,,
2334A0,1,1,,,,,,,,,,,,,,,,,,,
233230,1,1,,,,,,,,,,,,,,,,,,,
2332D0,1,1,,,,,,,,,,,,,,,,,,,
233240,1,1,,,,,,,,,,,,,,,,,,,
233411,1,1,,,,,,,,,,,,,,,,,,,
2332C0,1,1,,,,,,,,,,,,,,,,,,,
321100,1,1,,,,,,,,,,,,,,,,,,,
321200,1,1,,,,,,,,,,,,,,,,,,,
321910,1,1,,,,,,,,,,,,,,,,,,,
3219A0,1,1,,,,,,,,,,,,,,,,,,,
327100,1,1,,,,,,,,,,,,,,,,,,,
327200,1,1,,,,,,,,,,,,,,,,,,,
327310,1,1,,,,,,,,,,,,,,,,,,,
327320,1,1,,,,,,,,,,,,,,,,,,,
327330,1,1,,,,,,,,,,,,,,,,,,,
327390,1,1,,,,,,,,,,,,,,,,,,,
327400,1,1,,,,,,,,,,,,,,,,,,,
327910,1,1,,,,,,,,,,,,,,,,,,,
327991,1,1,,,,,,,,,,,,,,,,,,,
327992,1,1,,,,,,,,,,,,,,,,,,,
327993,1,1,,,,,,,,,,,,,,,,,,,
327999,1,1,,,,,,,,,,,,,,,,,,,
331110,1,1,,,,,,,,,,,,,,,,,,,
331200,1,1,,,,,,,,,,,,,,,,,,,
331314,,1,,,,,,,,,,,,,,,,,,,
331313,1,1,,,,,,,,,,,,,,,,,,,
33131B,1,1,,,,,,,,,,,,,,,,,,,
331410,1,1,,,,,,,,,,,,,,,,,,,
331420,1,1,,,,,,,,,,,,,,,,,,,
331490,1,1,,,,,,,,,,,,,,,,,,,
331510,1,1,,,,,,,,,,,,,,,,,,,
331520,1,1,,,,,,,,,,,,,,,,,,,
332114,1,1,,,,,,,,,,,,,,,,,,,
33211A,1,1,,,,,,,,,,,,,,,,,,,
332119,1,1,,,,,,,,,,,,,,,,,,,
332200,1,1,,,,,,,,,,,,,,,,,,,
332310,1,1,,,,,,,,,,,,,,,,,,,
332320,1,1,,,,,,,,,,,,,,,,,,,
332410,1,1,,,,,,,,,,,,,,,,,,,
332420,1,1,,,,,,,,,,,,,,,,,,,
332430,1,1,,,,,,,,,,,,,,,,,,,
332500,1,1,,,,,,,,,,,,,,,,,,,
332600,1,1,,,,,,,,,,,,,,,,,,,
332710,1,1,,,,,,,,,,,,,,,,,,,
332720,1,1,,,,,,,,,,,,,,,,,,,
332800,1,1,,,,,,,,,,,,,,,,,,,
332913,1,1,,,,,,,,,,,,,,,,,,,
33291A,1,1,,,,,,,,,,,,,,,,,,,
332991,1,1,,,,,,,,,,,,,,,,,,,
332996,1,1,,,,,,,,,,,,,,,,,,,
33299A,1,1,,,,,,,,,,,,,,,,,,,
332999,1,1,,,,,,,,,,,,,,,,,,,
333111,1,1,,,,,,,,,,,,,,,,,,,
333112,1,1,,,,,,,,,,,,,,,,,,,
