Code,Commodity,Industry,Scrap,ValueAdded,CommodityTotalOutput,IndustryTotalOutput,CommodityIntermediateOutput,HouseholdDemand,InvestmentDemand,ChangeInventories,Export,Import,GovernmentDemand,Wholesale,Retail,Distribution
111CA,1,1,,,,,,,,,,,,,,
113FF,1,1,,,,,,,,,,,,,,
211,1,1,,,,,,,,,,,,,,
212,1,1,,,,,,,,,,,,,,
213,1,1,,,,,,,,,,,,,,
22,1,1,,,,,,,,,,,,,,
23,1,1,,,,,,,,,,,,,,
321,1,1,,,,,,,,,,,,,,
327,1,1,,,,,,,,,,,,,,
331,1,1,,,,,,,,,,,,,,
332,1,1,,,,,,,,,,,,,,
333,1,1,,,,,,,,,,,,,,
334,1,1,,,,,,,,,,,,,,
335,1,1,,,,,,,,,,,,,,
3361MV,1,1,,,,,,,,,,,,,,
3364OT,1,1,,,,,,,,,,,,,,
337,1,1,,,,,,,,,,,,,,
339,1,1,,,,,,,,,,,,,,
311FT,1,1,,,,,,,,,,,,,,
313TT,1,1,,,,,,,,,,,,,,
315AL,1,1,,,,,,,,,,,,,,
322,1,1,,,,,,,,,,,,,,
323,1,1,,,,,,,,,,,,,,
324,1,1,,,,,,,,,,,,,,
325,1,1,,,,,,,,,,,,,,
326,1,1,,,,,,,,,,,,,,
42,1,1,,,,,,,,,,,,1,,
441,1,1,,,,,,,,,,,,,1,
445,1,1,,,,,,,,,,,,,1,
452,1,1,,,,,,,,,,,,,1,
4A0,1,1,,,,,,,,,,,,,1,
481,1,1,,,,,,,,,,,,,,1
482,1,1,,,,,,,,,,,,,,1
483,1,1,,,,,,,,,,,,,,1
484,1,1,,,,,,,,,,,,,,1
485,1,1,,,,,,,,,,,,,,1
486,1,1,,,,,,,,,,,,,,1
487OS,1,1,,,,,,,,,,,,,,
493,1,1,,,,,,,,,,,,,,1
511,1,1,,,,,,,,,,,,,,
512,1,1,,,,,,,,,,,,,,
513,1,1,,,,,,,,,,,,,,
514,1,1,,,,,,,,,,,,,,
521CI,1,1,,,,,,,,,,,,,,
523,1,1,,,,,,,,,,,,,,
524,1,1,,,,,,,,,,,,,,
525,1,1,,,,,,,,,,,,,,
HS,1,1,,,,,,,,,,,,,,
ORE,1,1,,,,,,,,,,,,,,
532RL,1,1,,,,,,,,,,,,,,
5411,1,1,,,,,,,,,,,,,,
5415,1,1,,,,,,,,,,,,,,
5412OP,1,1,,,,,,,,,,,,,,
55,1,1,,,,,,,,,,,,,,
561,1,1,,,,,,,,,,,,,,
562,1,1,,,,,,,,,,,,,,
61,1,1,,,,,,,,,,,,,,
621,1,1,,,,,,,,,,,,,,
622,1,1,,,,,,,,,,,,,,
623,1,1,,,,,,,,,,,,,,
624,1,1,,,,,,,,,,,,,,
711AS,1,1,,,,,,,,,,,,,,
713,1,1,,,,,,,,,,,,,,
721,1,1,,,,,,,,,,,,,,
722,1,1,,,,,,,,,,,,,,
81,1,1,,,,,,,,,,,,,,
GFE,1,1,,,,,,,,,,,,,,
GFGD,1,1,,,,,,,,,,,,,,
GFGN,1,1,,,,,,,,,,,,,,
GSLE,1,1,,,,,,,,,,,,,,
GSLG,1,1,,,,,,,,,,,,,,
Used,1,,1,,,,,,,,,,,,,
Other,1,,,,,,,,,,,,,,,
Sum of Intermediate Selected,,,,,,,,,,,,,,,,
Intermediate Not Selected,,,,,,,,,,,,,,,,
Total Intermediate,,,,,,,1,,,,,,,,,
V001,,,,1,,,,,,,,,,,,
V002,,,,1,,,,,,,,,,,,
V003,,,,1,,,,,,,,,,,,
Sum of Value Added Selected,,,,,,,,,,,,,,,,
Sum of Value Added Not Selected,,,,,,,,,,,,,,,,
Total Value Added,,,,,,,,,,,,,,,,
Total Industry Output,,,,,,1,,,,,,,,,,
F010,,,,,,,,1,,,,,,,,
F02E,,,,,,,,,1,,,,,,,
F02N,,,,,,,,,1,,,,,,,
F02R,,,,,,,,,1,,,,,,,
F02S,,,,,,,,,1,,,,,,,
F030,,,,,,,,,,1,,,,,,
F040,,,,,,,,,,,1,,,,,
F050,,,,,,,,,,,,1,,,,
F06C,,,,,,,,,,,,,1,,,
F06E,,,,,,,,,,,,,1,,,
F06N,,,,,,,,,,,,,1,,,
F06S,,,,,,,,,,,,,1,,,
F07C,,,,,,,,,,,,,1,,,
F07E,,,,,,,,,,,,,1,,,
F07N,,,,,,,,,,,,,1,,,
F07S,,,,,,,,,,,,,1,,,
F10C,,,,,,,,,,,,,1,,,
F10E,,,,,,,,,,,,,1,,,
F10N,,,,,,,,,,,,,1,,,
F10S,,,,,,,,,,,,,1,,,
Sum of Final Uses (GDP) Selected,,,,,,,,,,,,,,,,
Sum of Final Uses (GDP) Not Selected,,,,,,,,,,,,,,,,
Total Final Uses (GDP),,,,,,,,,,,,,,,,
Total Commodity Output,,,,,1,,,,,,,,,,,
