Flowable,Context,Unit,UUID,VADD,WAGE,TAX,JOBS,CRHW,CMSW,CCDD
Concrete,Waste Flows/CDD,kg,,0,0,0,0,0,0,1
Asphalt Pavement,Waste Flows/CDD,kg,,0,0,0,0,0,0,1
Asphalt Shingles,Waste Flows/CDD,kg,,0,0,0,0,0,0,1
Bricks,Waste Flows/CDD,kg,,0,0,0,0,0,0,1
Metal,Waste Flows/CDD,kg,,0,0,0,0,0,0,1
Gypsum Drywall,Waste Flows/CDD,kg,,0,0,0,0,0,0,1
Wood,Waste Flows/CDD,kg,,0,0,0,0,0,0,1
Fines,Waste Flows/CDD,kg,,0,0,0,0,0,0,0
Other,Waste Flows/CDD,kg,,0,0,0,0,0,0,0
Cardboard,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Paper Bags,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Newspaper,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
White Ledger Paper,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Other Office Paper,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Magazines and Catalogs,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Phone Books and Directories,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Other Miscellaneous Paper - Compostable,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Other Miscellaneous Paper - Other,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Remainder/Composite Paper - Compostable,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Remainder/Composite Paper - Other,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Clear Glass Bottles and Containers,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Green Glass Bottles and Containers,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Brown Glass Bottles and Containers,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Other Glass Colored Bottles and Containers,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Flat Glass,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Glass,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Tin/Steel Cans,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Major Appliances,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Used Oil Filters,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Other Ferrous,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Aluminum Cans,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
Other Non-Ferrous,Waste Flows/MSW,kg,,0,0,0,0,0,1,0
