BEA_Sector_Code,BEA_Sector_Name,BEA_Summary_Code,BEA_Summary_Name,BEA_Detail_Code,BEA_Detail_Name,USEEIO_Code,USEEIO_Industry,NAICS_Code,NAICS_Name
F010,Personal consumption expenditures,F010,Personal consumption expenditures,F01000,Personal consumption expenditures,F01000,Personal consumption expenditures,F01000,Households
F010,Personal consumption expenditures,F010,Personal consumption expenditures,F01000,Personal consumption expenditures,F01000,Personal consumption expenditures,F010,Households
F020,Private fixed investment,F02E,Nonresidential private fixed investment in structures,F02E00,Nonresidential private fixed investment in equipment,F02E00,Nonresidential private fixed investment in equipment,,
F020,Private fixed investment,F02N,Nonresidential private fixed investment in equipment,F02N00,Nonresidential private fixed investment in intellectual property products,F02N00,Nonresidential private fixed investment in intellectual property products,,
F020,Private fixed investment,F02R,Nonresidential private fixed investment in intellectual property products,F02R00,Residential private fixed investment,F02R00,Residential private fixed investment,,
F020,Private fixed investment,F02S,Residential private fixed investment,F02S00,Nonresidential private fixed investment in structures,F02S00,Nonresidential private fixed investment in structures,,
F030,Change in private inventories,F030,Change in private inventories,F03000,Change in private inventories,F03000,Change in private inventories,,
F040,Exports of goods and services,F040,Exports of goods and services,F04000,Exports of goods and services,F04000,Exports of goods and services,,
F050,Imports of goods and services,F050,Imports of goods and services,F05000,Imports of goods and services,F05000,Imports of goods and services,,
F100,Government consumption expenditures and gross investment,F06C,Federal national defense: Consumption expenditures,F06C00,Federal Government defense: Consumption expenditures,F06C00,Federal Government defense: Consumption expenditures,,
F100,Government consumption expenditures and gross investment,F06E,Federal national defense: Gross investment in structures,F06E00,Federal national defense: Gross investment in equipment,F06E00,Federal national defense: Gross investment in equipment,,
F100,Government consumption expenditures and gross investment,F06N,Federal national defense: Gross investment in equipment,F06N00,Federal national defense: Gross investment in intellectual property products,F06N00,Federal national defense: Gross investment in intellectual property products,,
F100,Government consumption expenditures and gross investment,F06S,Federal national defense: Gross investment in intellectual property products,F06S00,Federal national defense: Gross investment in structures,F06S00,Federal national defense: Gross investment in structures,,
F100,Government consumption expenditures and gross investment,F07C,Federal national nondefense: Consumption expenditures,F07C00,Federal Government nondefense: Consumption expenditures,F07C00,Federal Government nondefense: Consumption expenditures,,
F100,Government consumption expenditures and gross investment,F07E,Federal national nondefense: Gross investment in structures,F07E00,Federal nondefense: Gross investment in equipment,F07E00,Federal nondefense: Gross investment in equipment,,
F100,Government consumption expenditures and gross investment,F07N,Federal national nondefense: Gross investment in equipment,F07N00,Federal nondefense: Gross investment in intellectual property products,F07N00,Federal nondefense: Gross investment in intellectual property products,,
F100,Government consumption expenditures and gross investment,F07S,Federal national nondefense: Gross investment in intellectual property products,F07S00,Federal nondefense: Gross investment in structures,F07S00,Federal nondefense: Gross investment in structures,,
F100,Government consumption expenditures and gross investment,F10C,State and local: Consumption expenditures,F10C00,State and local government consumption expenditures,F10C00,State and local government consumption expenditures,,
F100,Government consumption expenditures and gross investment,F10E,State and local: Gross investment in structures,F10E00,State and local: Gross investment in equipment,F10E00,State and local: Gross investment in equipment,,
F100,Government consumption expenditures and gross investment,F10N,State and local: Gross investment in equipment,F10N00,State and local: Gross investment in intellectual property products,F10N00,State and local: Gross investment in intellectual property products,,
F100,Government consumption expenditures and gross investment,F10S,State and local: Gross investment in intellectual property products,F10S00,State and local: Gross investment in structures,F10S00,State and local: Gross investment in structures,,
