Code,Commodity,Industry,Scrap,ValueAdded,CommodityTotalOutput,IndustryTotalOutput,CommodityIntermediateOutput,HouseholdDemand,InvestmentDemand,ChangeInventories,Export,Import,GovernmentDemand,Wholesale,Retail,Distribution
11,1,1,,,,,,,,,,,,,,
21,1,1,,,,,,,,,,,,,,
22,1,1,,,,,,,,,,,,,,
23,1,1,,,,,,,,,,,,,,
31G,1,1,,,,,,,,,,,,,,
42,1,1,,,,,,,,,,,,1,,
44RT,1,1,,,,,,,,,,,,,1,
48TW,1,1,,,,,,,,,,,,,,1
51,1,1,,,,,,,,,,,,,,
FIRE,1,1,,,,,,,,,,,,,,
PROF,1,1,,,,,,,,,,,,,,
6,1,1,,,,,,,,,,,,,,
7,1,1,,,,,,,,,,,,,,
81,1,1,,,,,,,,,,,,,,
G,1,1,,,,,,,,,,,,,,
Used,1,,1,,,,,,,,,,,,,
Other,1,,,,,,,,,,,,,,,
Sum of Intermediate Selected,,,,,,,,,,,,,,,,
Intermediate Not Selected,,,,,,,,,,,,,,,,
Total Intermediate,,,,,,,1,,,,,,,,,
V001,,,,1,,,,,,,,,,,,
V002,,,,1,,,,,,,,,,,,
V003,,,,1,,,,,,,,,,,,
Sum of Value Added Selected,,,,,,,,,,,,,,,,
Sum of Value Added Not Selected,,,,,,,,,,,,,,,,
Total Value Added,,,,,,,,,,,,,,,,
Total Industry Output,,,,,,1,,,,,,,,,,
F010,,,,,,,,1,,,,,,,,
F020,,,,,,,,,1,,,,,,,
F030,,,,,,,,,,1,,,,,,
F040,,,,,,,,,,,1,,,,,
F050,,,,,,,,,,,,1,,,,
F100,,,,,,,,,,,,,1,,,
Sum of Final Uses (GDP) Selected,,,,,,,,,,,,,,,,
Sum of Final Uses (GDP) Not Selected,,,,,,,,,,,,,,,,
Total Final Uses (GDP),,,,,,,,,,,,,,,,
Total Commodity Output,,,,,1,,,,,,,,,,,
