"IndustryCode","CommodityCode","PercentMake","Note"
"221100/US","221100/US",0.781090503048714,"IntersectionDisagg"
"22X/US","221100/US",0.000997920632338783,"IntersectionDisagg"
"221100/US","22X/US",0.0193231724204631,"IntersectionDisagg"
"22X/US","22X/US",0.198588403898485,"IntersectionDisagg"
"486/US","221100/US",0,"CommodityDisagg"
"486/US","22X/US",1,"CommodityDisagg"
"GFE/US","221100/US",1,"CommodityDisagg"
"GFE/US","22X/US",0,"CommodityDisagg"
"GSLG/US","221100/US",0,"CommodityDisagg"
"GSLG/US","22X/US",1,"CommodityDisagg"
"GSLE/US","221100/US",0.485727541327864,"CommodityDisagg"
"GSLE/US","22X/US",0.514272458672136,"CommodityDisagg"
"GFGN/US","221100/US",0,"CommodityDisagg"
"GFGN/US","22X/US",1,"CommodityDisagg"
"221100/US","211/US",0,"IndustryDisagg"
"22X/US","211/US",1,"IndustryDisagg"
"221100/US","23/US",0.86417221937468,"IndustryDisagg"
"22X/US","23/US",0.13582778062532,"IndustryDisagg"
"221100/US","4A0/US",0.722222222222222,"IndustryDisagg"
"22X/US","4A0/US",0.277777777777778,"IndustryDisagg"
"221100/US","486/US",0.281609195402299,"IndustryDisagg"
"22X/US","486/US",0.718390804597701,"IndustryDisagg"
"221100/US","5412OP/US",0.811023622047244,"IndustryDisagg"
"22X/US","5412OP/US",0.188976377952756,"IndustryDisagg"
"221100/US","5415/US",0.748815165876777,"IndustryDisagg"
"22X/US","5415/US",0.251184834123223,"IndustryDisagg"
"221100/US","GSLE/US",0,"IndustryDisagg"
"22X/US","GSLE/US",1,"IndustryDisagg"
