IndustryCode,CommodityCode,PercentMake,Note
562000/US,562111/US,4.79E-01,Make column sum
562000/US,562HAZ/US,1.28E-01,Make column sum
562000/US,562212/US,8.12E-02,Make column sum
562000/US,562213/US,1.36E-02,Make column sum
562000/US,562910/US,1.47E-01,Make column sum
562000/US,562920/US,5.40E-02,Make column sum
562000/US,562OTH/US,9.78E-02,Make column sum
562111/US,562111/US,4.23E-01,Make table intersection
562HAZ/US,562HAZ/US,1.50E-01,Make table intersection
562212/US,562212/US,7.87E-02,Make table intersection
562213/US,562213/US,1.31E-02,Make table intersection
562910/US,562910/US,1.68E-01,Make table intersection
562920/US,562920/US,5.23E-02,Make table intersection
562OTH/US,562OTH/US,1.15E-01,Make table intersection
221300/US,562111/US,7.63E-01,commodity disaggregation
221300/US,562212/US,1.29E-01,commodity disaggregation
221300/US,562213/US,2.16E-02,commodity disaggregation
221300/US,562920/US,8.61E-02,commodity disaggregation
484000/US,562111/US,1.00E+00,commodity disaggregation
511110/US,562111/US,1.00E+00,commodity disaggregation
561700/US,562910/US,1.00E+00,commodity disaggregation
GSLGO/US,562111/US,7.63E-01,commodity disaggregation
GSLGO/US,562212/US,1.29E-01,commodity disaggregation
GSLGO/US,562213/US,2.16E-02,commodity disaggregation
GSLGO/US,562920/US,8.61E-02,commodity disaggregation
562212/US,211000/US,1.00E+00,industry disaggregation
562111/US,2332D0/US,4.31E-01,industry disaggregation
562HAZ/US,2332D0/US,1.94E-01,industry disaggregation
562212/US,2332D0/US,8.19E-02,industry disaggregation
562213/US,2332D0/US,1.36E-02,industry disaggregation
562910/US,2332D0/US,1.51E-01,industry disaggregation
562920/US,2332D0/US,4.06E-02,industry disaggregation
562OTH/US,2332D0/US,8.85E-02,industry disaggregation
562111/US,444000/US,4.31E-01,industry disaggregation
562HAZ/US,444000/US,1.94E-01,industry disaggregation
562212/US,444000/US,8.19E-02,industry disaggregation
562213/US,444000/US,1.36E-02,industry disaggregation
562910/US,444000/US,1.51E-01,industry disaggregation
562920/US,444000/US,4.06E-02,industry disaggregation
562OTH/US,444000/US,8.85E-02,industry disaggregation
562111/US,48A000/US,4.31E-01,industry disaggregation
562HAZ/US,48A000/US,1.94E-01,industry disaggregation
562212/US,48A000/US,8.19E-02,industry disaggregation
562213/US,48A000/US,1.36E-02,industry disaggregation
562910/US,48A000/US,1.51E-01,industry disaggregation
562920/US,48A000/US,4.06E-02,industry disaggregation
562OTH/US,48A000/US,8.85E-02,industry disaggregation
562111/US,532400/US,4.31E-01,industry disaggregation
562HAZ/US,532400/US,1.94E-01,industry disaggregation
562212/US,532400/US,8.19E-02,industry disaggregation
562213/US,532400/US,1.36E-02,industry disaggregation
562910/US,532400/US,1.51E-01,industry disaggregation
562920/US,532400/US,4.06E-02,industry disaggregation
562OTH/US,532400/US,8.85E-02,industry disaggregation
562111/US,541511/US,4.31E-01,industry disaggregation
562HAZ/US,541511/US,1.94E-01,industry disaggregation
562212/US,541511/US,8.19E-02,industry disaggregation
562213/US,541511/US,1.36E-02,industry disaggregation
562910/US,541511/US,1.51E-01,industry disaggregation
562920/US,541511/US,4.06E-02,industry disaggregation
562OTH/US,541511/US,8.85E-02,industry disaggregation
562111/US,5416A0/US,4.31E-01,industry disaggregation
562HAZ/US,5416A0/US,1.94E-01,industry disaggregation
562212/US,5416A0/US,8.19E-02,industry disaggregation
562213/US,5416A0/US,1.36E-02,industry disaggregation
562910/US,5416A0/US,1.51E-01,industry disaggregation
562920/US,5416A0/US,4.06E-02,industry disaggregation
562OTH/US,5416A0/US,8.85E-02,industry disaggregation
562111/US,541700/US,4.31E-01,industry disaggregation
562HAZ/US,541700/US,1.94E-01,industry disaggregation
562212/US,541700/US,8.19E-02,industry disaggregation
562213/US,541700/US,1.36E-02,industry disaggregation
562910/US,541700/US,1.51E-01,industry disaggregation
562920/US,541700/US,4.06E-02,industry disaggregation
562OTH/US,541700/US,8.85E-02,industry disaggregation
562920/US,S00401/US,1.00E+00,industry disaggregation
