,324110B1/us
"butane, perfluorocyclo-, pfc-318/air/unspecified/kg",0
carbon dioxide/air/unspecified/kg,0
"ethane, 1,1,1-trifluoro-, hfc-143a/air/unspecified/kg",0
"ethane, 1,1,1,2-tetrafluoro-, hfc-134a/air/unspecified/kg",0
"ethane, hexafluoro-, hfc-116/air/unspecified/kg",0
"ethane, pentafluoro-, hfc-125/air/unspecified/kg",0
"methane, difluoro-, hfc-32/air/unspecified/kg",0
"methane, tetrafluoro-, r-14/air/unspecified/kg",0
"methane, trifluoro-, hfc-23/air/unspecified/kg",0
methane/air/unspecified/kg,0
nitrogen fluoride/air/unspecified/kg,0
nitrous oxide/air/unspecified/kg,0
"propane, 1,1,1,3,3,3-hexafluoro-, hcfc-236fa/air/unspecified/kg",0
"propane, perfluoro-/air/unspecified/kg",0
sulfur hexafluoride/air/unspecified/kg,0
